activity_id,institution_id,source_id,experiment_id,frequency,modeling_realm,table_id,member_id,grid_label,variable_id,temporal_subset,chunk_freq,grid_label,platform,dimensions,cell_methods,path
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,pr,198701-198712,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198701-198712.pr.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,hfss,198101-198112,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198101-198112.hfss.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,tas,198701-198712,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198701-198712.tas.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,prc,198101-198112,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198101-198112.prc.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198701-198712,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198701-198712.z_Ri_025.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,pr,198101-198112,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198101-198112.pr.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,evspsbl,198801-198812,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198801-198812.evspsbl.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,tas,198101-198112,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198101-198112.tas.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,hfss,198801-198812,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198801-198812.hfss.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198101-198112,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198101-198112.z_Ri_025.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,prc,198801-198812,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198801-198812.prc.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,evspsbl,198201-198212,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198201-198212.evspsbl.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,pr,198801-198812,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198801-198812.pr.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,hfss,198201-198212,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198201-198212.hfss.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,tas,198801-198812,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198801-198812.tas.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,prc,198201-198212,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198201-198212.prc.nc
dev,,am5,c96L65_am5f6b9r0_amip,P1M,atmos_diurnal,,na,,z_Ri_025,198801-198812,P1Y,,gfdl.ncrc5-deploy-prod-openmp,,ts,/archive/am5/am5/am5f6b9r0/c96L65_am5f6b9r0_amip/gfdl.ncrc5-deploy-prod-openmp/pp_canopy/atmos_diurnal/ts/P1M/P1Y/atmos_diurnal.198801-198812.z_Ri_025.nc
